"ind","PH","FT","Sub-population"
"Hv-2011S-3-00314",65.1999999456577,72.4954528631557,"HvDRR04"
"Hv-2011S-3-00315",62.9999999456577,66.0776885068077,"HvDRR04"
"Hv-2011S-3-00317",66.7189937089902,75.7572180856513,"HvDRR04"
"Hv-2011S-3-00318",59.9999999456577,75.7108371038899,"HvDRR04"
"Hv-2011S-3-00319",51.0650922460231,66.0729567334758,"HvDRR04"
"Hv-2011S-3-00320",63.5999999456577,78.0166979097507,"HvDRR04"
"Hv-2011S-3-00321",60.7999999456578,71.4154566760925,"HvDRR04"
"Hv-2011S-3-00322",61.8065433020881,77.6430249716786,"HvDRR04"
"Hv-2011S-3-00323",62.1999999456577,70.2195485365044,"HvDRR04"
"Hv-2011S-3-00324",58.7999999456576,74.0153483820854,"HvDRR04"
"Hv-2011S-3-00325",58.9999999456577,66.0649358305919,"HvDRR04"
"Hv-2011S-3-00326",58.9999999456577,77.2795184225712,"HvDRR04"
"Hv-2011S-3-00327",61.7189937089901,69.6604633879149,"HvDRR04"
"Hv-2011S-3-00328",53.4817300785649,71.890672232695,"HvDRR04"
"Hv-2011S-3-00329",55.5999999456577,64.9475782130167,"HvDRR04"
"Hv-2011S-3-00330",63.9999999456577,66.8004361013836,"HvDRR04"
"Hv-2011S-3-00331",65.6441804854669,72.1012126430093,"HvDRR04"
"Hv-2011S-3-00332",62.2189937089901,79.5842067641235,"HvDRR04"
"Hv-2011S-3-00333",57.9999999456577,65.5203609134137,"HvDRR04"
"Hv-2011S-3-00334",64.5999999456577,70.9802606627871,"HvDRR04"
"Hv-2011S-3-00335",65.2815921719368,70.5791670479632,"HvDRR03"
"Hv-2011S-3-00336",36.9817300785649,90.7404563239687,"HvDRR04"
"Hv-2011S-3-00337",63.3941804854669,74.3318540251397,"HvDRR04"
"Hv-2011S-3-00338",68.1999999456578,68.7559489783964,"HvDRR04"
"Hv-2011S-3-00339",55.1999999456577,63.6023809924976,"HvDRR04"
"Hv-2011S-3-00340",59.9999999456577,64.8744596401157,"HvDRR04"
"Hv-2011S-3-00341",62.3999999456577,75.4154566760925,"HvDRR04"
"Hv-2011S-3-00342",52.1240248923283,73.971456549292,"HvDRR04"
"Hv-2011S-3-00343",52.7815921719368,71.7531863127231,"HvDRR04"
"Hv-2011S-3-00344",62.9689937089901,75.7425196967995,"HvDRR04"
"Hv-2011S-3-00345",56.2343636337753,77.7916570167285,"HvDRR04"
"Hv-2011S-3-00347",63.3999999456577,79.4154566760925,"HvDRR04"
"Hv-2011S-3-00349",71.3999999456577,72.6154566760925,"HvDRR04"
"Hv-2011S-3-00350",59.3999999456577,72.5824405163071,"HvDRR04"
"Hv-2011S-3-00351",64.8736310405417,80.7606151886097,"HvDRR04"
"Hv-2011S-3-00353",62.5999999456577,62.284196177249,"HvDRR04"
"Hv-2011S-3-00354",60.5999999456577,63.6870275800803,"HvDRR04"
"Hv-2011S-3-00355",53.3999999456577,69.685879797425,"HvDRR04"
"Hv-2011S-3-00356",57.7999999456577,77.8154566760925,"HvDRR04"
"Hv-2011S-3-00357",53.3999999456577,81.1889336373164,"HvDRR04"
"Hv-2011S-3-00358",61.9817300785649,64.6867389043977,"HvDRR04"
"Hv-2011S-3-00359",56.7999999456578,82.6154566760925,"HvDRR02"
"Hv-2011S-3-00360",64.7189937089901,65.0080009158849,"HvDRR04"
"Hv-2011S-3-00361",64.96899370899,67.5283564833174,"HvDRR04"
"Hv-2011S-3-00362",52.1484544134813,76.7552412342565,"HvDRR04"
"Hv-2011S-3-00363",66.1999999456577,73.6154566760925,"HvDRR08"
"Hv-2011S-3-00367",62.1240248923283,87.7404563239687,"HvDRR04"
"Hv-2011S-3-00368",55.5999999456577,62.3197756361896,"HvDRR04"
"Hv-2011S-3-00374",64.2815921719367,68.9294529155174,"HvDRR04"
"Hv-2011S-3-00375",62.901030300442,64.8556003039831,"HvDRR04"
"Hv-2011S-3-00377",50.7736513393746,80.7451618019361,"HvDRR04"
"Hv-2011S-3-00378",57.7121146972546,63.7204917489171,"HvDRR04"
"Hv-2011S-3-00379",60.5676969671087,68.16774839965,"HvDRR04"
"Hv-2011S-3-00380",62.1999999456577,68.4228186707102,"HvDRR04"
